AOI,NDVI_before_mean,NDVI_after_mean,NDVI_change_mean,NDVI_before_std,NDVI_after_std,NDBI_before_mean,NDBI_after_mean,NDBI_change_mean,NDBI_before_std,NDBI_after_std,Urbanization_percent,Vegetation_loss_percent
Apex_HaddonHall,0.2509048283100128,0.2832164764404297,0.032311610877513885,0.11127234250307083,0.11798149347305298,-0.029266072437167168,-0.058833859860897064,-0.029567787423729897,0.08393854647874832,0.08258956670761108,0.07641071480061129,0.9183702892073469
Austin_Pflugerville,0.24612289667129517,0.21729795634746552,-0.0288249421864748,0.1142689660191536,0.1126825213432312,0.03411713242530823,0.03267810493707657,-0.0014390297001227736,0.07575540244579315,0.06989293545484543,0.034885749171463455,5.019583591012163
Charlotte_SteeleCreek,0.34807121753692627,0.33232152462005615,-0.01574966125190258,0.1269935816526413,0.13604401051998138,-0.09136661142110825,-0.08546564728021622,0.00590096227824688,0.0823047086596489,0.086698979139328,2.443416436399764,5.666118165730075
Dallas_Frisco,0.1976628303527832,0.1953369379043579,-0.0023258959408849478,0.10167215764522552,0.10230842232704163,0.03610534220933914,0.02220057137310505,-0.013904771767556667,0.06988313049077988,0.07194659113883972,0.18241379310344827,2.170689655172414
Denver_Stonegate,0.18241114914417267,0.1762610226869583,-0.0061501204036176205,0.10733428597450256,0.10463463515043259,0.024314625188708305,0.012772217392921448,-0.011542409658432007,0.09111548960208893,0.0820566862821579,0.08628798102482313,0.36191878297141455
Houston_Spring,0.28096914291381836,0.27722081542015076,-0.0037483349442481995,0.14712871611118317,0.14486616849899292,-0.053637199103832245,-0.059479568153619766,-0.005842364858835936,0.08675854653120041,0.08560921251773834,0.3541170240931956,2.353057982525814
LasVegas_Inspirada,0.06480798125267029,0.052561987191438675,-0.012245992198586464,0.025035616010427475,0.031927235424518585,0.07279530167579651,0.060375191271305084,-0.012420120649039745,0.039028704166412354,0.05936330929398537,0.027804810232170164,0.028599233381660743
Phoenix_Gilbert,0.19208645820617676,0.16782817244529724,-0.024258283898234367,0.14313463866710663,0.1287076473236084,-0.03714679926633835,-0.028362790122628212,0.008784002624452114,0.0750739797949791,0.07036592066287994,0.5545999398347771,4.5887552740988715
Raleigh_BrierCreek,0.2567491829395294,0.27542561292648315,0.018676429986953735,0.13322913646697998,0.13432134687900543,-0.043985869735479355,-0.06480900943279266,-0.02082313969731331,0.0853172242641449,0.08360019326210022,0.14685286159117794,1.1625851542634922
Raleigh_NorthHills,0.2447856366634369,0.21899867057800293,-0.025786953046917915,0.16273975372314453,0.14267119765281677,-0.06266055256128311,-0.04608125612139702,0.016579294577240944,0.09411227703094482,0.08646054565906525,1.6510882172340862,3.7456505424029474
