AOI,tp,fp,fn,tn,iou,f1,precision,recall,accuracy
Apex_HaddonHall,52,0,0,118425,0.9999999998076923,0.9999999948076923,0.9999999998076923,0.9999999998076923,0.9999999999999156
Austin_Pflugerville,14,0,0,126112,0.9999999992857143,0.9999999942857143,0.9999999992857143,0.9999999992857143,0.9999999999999207
Charlotte_SteeleCreek,779,0,0,48489,0.999999999987163,0.999999994987163,0.999999999987163,0.999999999987163,0.999999999999797
Dallas_Frisco,332,0,0,289668,0.9999999999698795,0.9999999949698795,0.9999999999698795,0.9999999999698795,0.9999999999999655
Denver_Stonegate,402,0,0,595083,0.9999999999751243,0.9999999949751244,0.9999999999751243,0.9999999999751243,0.9999999999999832
Houston_Spring,209,0,0,123175,0.999999999952153,0.999999994952153,0.999999999952153,0.999999999952153,0.999999999999919
LasVegas_Inspirada,57,0,0,436863,0.9999999998245613,0.9999999948245613,0.9999999998245613,0.9999999998245613,0.9999999999999771
Phoenix_Gilbert,696,0,0,133317,0.9999999999856322,0.9999999949856322,0.9999999999856322,0.9999999999856322,0.9999999999999253
Raleigh_BrierCreek,100,0,0,108834,0.9999999999000001,0.9999999949,0.9999999999000001,0.9999999999000001,0.9999999999999082
Raleigh_NorthHills,155,0,0,26245,0.9999999999354838,0.9999999949354839,0.9999999999354838,0.9999999999354838,0.9999999999996212
ALL,2796,0,0,2006211,0.9999999999964235,0.9999999949964236,0.9999999999964235,0.9999999999964235,0.999999999999995
